5.533426187232952818e-10 5.932678759132788486e-10 5.945964641344889384e-10 5.533426187232952818e-10 5.932678759132788486e-10 5.945964641344889384e-10 9.688232853639350143e-04 1.044477787901792239e-03 4.792002507596917081e-10 1.044477787901792239e-03 9.688232853639350143e-04 4.524760060754802366e-10 4.820246430590173510e-10
1.106572336179657569e-09 1.186291701534743639e-09 1.188900562897580301e-09 1.106572336179657569e-09 1.186291701534743639e-09 1.188900562897580301e-09 2.118005614992209129e-03 1.908922958838110868e-03 9.582263406129767546e-10 1.908922958838110868e-03 2.118005614992209129e-03 9.047798416549127094e-10 9.638711443909102449e-10
1.659887374177820660e-09 1.779297275020068237e-09 1.783128760197640830e-09 1.659887374177820660e-09 1.779297275020068237e-09 1.783128760197640830e-09 3.267188939825662036e-03 2.773368129774429498e-03 1.437255416081800251e-09 2.773368129774429498e-03 3.267188939825662036e-03 1.357081686823986181e-09 1.445714660107264689e-09
2.213317370224168462e-09 2.372282647823592288e-09 2.377277702189574353e-09 2.213317370224168462e-09 2.372282647823592288e-09 2.377277702189574353e-09 4.416372264659114942e-03 3.637823252762542332e-03 1.916267573062572703e-09 3.637823252762542332e-03 4.416372264659114942e-03 1.809402440891469596e-09 1.927563151849516791e-09
2.766817318698197027e-09 2.965245202947732964e-09 2.971365020145527531e-09 2.766817318698197027e-09 2.965245202947732964e-09 2.971365020145527531e-09 5.565545637440773644e-03 4.502278375750655599e-03 2.395299634146934753e-09 4.502278375750655599e-03 5.565545637440773644e-03 2.261703290855364032e-09 2.409421595643562968e-09
3.320432453717772605e-09 3.558188309489802662e-09 3.565364018077836880e-09 3.320432453717772605e-09 3.558188309489802662e-09 3.565364018077836880e-09 6.714709058170637707e-03 5.366733498738769301e-03 2.874311791127707411e-09 5.366733498738769301e-03 6.714709058170637707e-03 2.714024044922847447e-09 2.891270087385814656e-09
3.874117800721758076e-09 4.151107854517871791e-09 4.159292894343876397e-09 3.874117800721758076e-09 4.151107854517871791e-09 4.159292894343876397e-09 7.863882430952295541e-03 6.231198573778676773e-03 3.353333900160274145e-09 6.231198573778676773e-03 7.863882430952295541e-03 3.166334846938535958e-09 3.373118579128066758e-09
4.427900005794486613e-09 4.744014327604712518e-09 4.753169032411831251e-09 4.427900005794486613e-09 4.744014327604712518e-09 4.753169032411831251e-09 9.013035899630364098e-03 7.095673600870379752e-03 3.832365961244636196e-09 7.095673600870379752e-03 9.013035899630364098e-03 3.618645648954224884e-09 3.854967070870318446e-09
4.981779678523546255e-09 5.336893862841245456e-09 5.346947972709914288e-09 4.981779678523546255e-09 5.336893862841245456e-09 5.346948337316847856e-09 1.016223912856740845e-02 7.960148627962081863e-03 4.311388070277203757e-09 7.960148627962081863e-03 1.016223912856740845e-02 4.070966403021707885e-09 4.336825514664364624e-09
5.535738639517709340e-09 5.929757337807275453e-09 5.940667782103538864e-09 5.535738639517709340e-09 5.929757337807275453e-09 5.940667782103538864e-09 1.131130302877932439e-02 8.824623655053783974e-03 4.790420131361564566e-09 8.824623655053783974e-03 1.131130302877932439e-02 4.523267252985602735e-09 4.818683958458411629e-09
